NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	THBD	thrombomodulin [Source:HGNC Symbol;Acc:HGNC:11784]	67	0.22355222702026367	0.006333745	Yes	
row_1	ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	122	0.20597924292087555	0.012633872	Yes	
row_2	MILR1	mast cell immunoglobulin like receptor 1 [Source:HGNC Symbol;Acc:HGNC:27570]	172	0.1952294558286667	0.01873619	Yes	
row_3	LIMK1	LIM domain kinase 1 [Source:HGNC Symbol;Acc:HGNC:6613]	193	0.19147565960884094	0.026405621	Yes	
row_4	KCNJ2	potassium inwardly rectifying channel subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:6263]	261	0.18427178263664246	0.030919695	Yes	
row_5	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	262	0.1841086447238922	0.039448544	Yes	
row_6	GASK1B	golgi associated kinase 1B [Source:HGNC Symbol;Acc:HGNC:25312]	314	0.17941759526729584	0.044698305	Yes	
row_7	ABHD2	abhydrolase domain containing 2, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:18717]	326	0.17852522432804108	0.05230812	Yes	
row_8	PLAU	plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]	332	0.17826765775680542	0.06026621	Yes	
row_9	HNMT	histamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:5028]	414	0.17097781598567963	0.06332396	Yes	
row_10	TDO2	tryptophan 2,3-dioxygenase [Source:HGNC Symbol;Acc:HGNC:11708]	416	0.1709076315164566	0.07118123	Yes	
row_11	MFAP3	microfibril associated protein 3 [Source:HGNC Symbol;Acc:HGNC:7034]	460	0.1679086983203888	0.07637812	Yes	
row_12	TREM1	triggering receptor expressed on myeloid cells 1 [Source:HGNC Symbol;Acc:HGNC:17760]	513	0.16394942998886108	0.08085129	Yes	
row_13	COL6A3	collagen type VI alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2213]	518	0.16371659934520721	0.08819533	Yes	
row_14	GPR65	G protein-coupled receptor 65 [Source:HGNC Symbol;Acc:HGNC:4517]	540	0.162342831492424	0.094455145	Yes	
row_15	FAM20C	FAM20C golgi associated secretory pathway kinase [Source:HGNC Symbol;Acc:HGNC:22140]	587	0.15949714183807373	0.09908227	Yes	
row_16	SIPA1L2	signal induced proliferation associated 1 like 2 [Source:HGNC Symbol;Acc:HGNC:23800]	623	0.1571957916021347	0.10426316	Yes	
row_17	ZEB2	zinc finger E-box binding homeobox 2 [Source:HGNC Symbol;Acc:HGNC:14881]	659	0.15460452437400818	0.10932401	Yes	
row_18	LRRC25	leucine rich repeat containing 25 [Source:HGNC Symbol;Acc:HGNC:29806]	728	0.1503208577632904	0.11220527	Yes	
row_19	SLC12A6	solute carrier family 12 member 6 [Source:HGNC Symbol;Acc:HGNC:10914]	743	0.14986099302768707	0.118307106	Yes	
row_20	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	763	0.14931263029575348	0.12408336	Yes	
row_21	HBP1	HMG-box transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:23200]	805	0.1470288336277008	0.12843306	Yes	
row_22	TRIP11	thyroid hormone receptor interactor 11 [Source:HGNC Symbol;Acc:HGNC:12305]	915	0.14214789867401123	0.12847428	Yes	
row_23	OSTM1	osteoclastogenesis associated transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:21652]	952	0.14032159745693207	0.13281344	Yes	
row_24	SNX16	sorting nexin 16 [Source:HGNC Symbol;Acc:HGNC:14980]	953	0.14031192660331726	0.1393134	Yes	
row_25	SMIM14	small integral membrane protein 14 [Source:HGNC Symbol;Acc:HGNC:27321]	992	0.13883540034294128	0.14346364	Yes	
row_26	PTPRO	protein tyrosine phosphatase receptor type O [Source:HGNC Symbol;Acc:HGNC:9678]	1151	0.1314786672592163	0.1400689	Yes	
row_27	ATXN1	ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]	1176	0.13072481751441956	0.1446839	Yes	
row_28	SLC38A6	solute carrier family 38 member 6 [Source:HGNC Symbol;Acc:HGNC:19863]	1182	0.13050265610218048	0.15042928	Yes	
row_29	BMF	Bcl2 modifying factor [Source:HGNC Symbol;Acc:HGNC:24132]	1226	0.12875424325466156	0.15381233	Yes	
row_30	ACVR1	activin A receptor type 1 [Source:HGNC Symbol;Acc:HGNC:171]	1235	0.12846426665782928	0.15928318	Yes	
row_31	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	1367	0.12347636371850967	0.15713866	Yes	
row_32	CMTM3	CKLF like MARVEL transmembrane domain containing 3 [Source:HGNC Symbol;Acc:HGNC:19174]	1403	0.12251146882772446	0.16071281	Yes	
row_33	VSIG4	V-set and immunoglobulin domain containing 4 [Source:HGNC Symbol;Acc:HGNC:17032]	1461	0.12061668932437897	0.1628784	Yes	
row_34	GNPDA2	glucosamine-6-phosphate deaminase 2 [Source:HGNC Symbol;Acc:HGNC:21526]	1479	0.120052769780159	0.16741925	Yes	
row_35	NCF2	neutrophil cytosolic factor 2 [Source:HGNC Symbol;Acc:HGNC:7661]	1562	0.11763163655996323	0.1679457	Yes	
row_36	HECW2	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:29853]	1572	0.11725090444087982	0.17283705	Yes	
row_37	RIN2	Ras and Rab interactor 2 [Source:HGNC Symbol;Acc:HGNC:18750]	1578	0.11700363457202911	0.17795707	Yes	
row_38	HAVCR2	hepatitis A virus cellular receptor 2 [Source:HGNC Symbol;Acc:HGNC:18437]	1710	0.11292705684900284	0.17532387	Yes	
row_39	BTBD7	BTB domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18269]	1716	0.11285197734832764	0.18025158	Yes	
row_40	TLR1	toll like receptor 1 [Source:HGNC Symbol;Acc:HGNC:11847]	1741	0.11215835809707642	0.18400648	Yes	
row_41	ASPH	aspartate beta-hydroxylase [Source:HGNC Symbol;Acc:HGNC:757]	1815	0.10960078984498978	0.18470122	Yes	
row_42	CMTM1	CKLF like MARVEL transmembrane domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19172]	1829	0.1091352105140686	0.18897645	Yes	
row_43	CYBRD1	cytochrome b reductase 1 [Source:HGNC Symbol;Acc:HGNC:20797]	1839	0.10878537595272064	0.19347563	Yes	
row_44	TMEM255A	transmembrane protein 255A [Source:HGNC Symbol;Acc:HGNC:26086]	1840	0.10876058042049408	0.19851398	Yes	
row_45	FAM177A1	family with sequence similarity 177 member A1 [Source:HGNC Symbol;Acc:HGNC:19829]	1854	0.10858941078186035	0.20276394	Yes	
row_46	TYROBP	transmembrane immune signaling adaptor TYROBP [Source:HGNC Symbol;Acc:HGNC:12449]	1855	0.10855256021022797	0.20779265	Yes	
row_47	UBE2W	ubiquitin conjugating enzyme E2 W [Source:HGNC Symbol;Acc:HGNC:25616]	1881	0.10776038467884064	0.21128379	Yes	
row_48	NLRC4	NLR family CARD domain containing 4 [Source:HGNC Symbol;Acc:HGNC:16412]	1935	0.10605823248624802	0.21301511	Yes	
row_49	NAMPT	nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]	1941	0.10580337047576904	0.21761627	Yes	
row_50	DOCK4	dedicator of cytokinesis 4 [Source:HGNC Symbol;Acc:HGNC:19192]	1966	0.10533086955547333	0.22105491	Yes	
row_51	ZMYND11	zinc finger MYND-type containing 11 [Source:HGNC Symbol;Acc:HGNC:16966]	2061	0.10295265167951584	0.22018093	Yes	
row_52	CRK	CRK proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2362]	2067	0.10287723690271378	0.22464655	Yes	
row_53	CD36	CD36 molecule (CD36 blood group) [Source:HGNC Symbol;Acc:HGNC:1663]	2096	0.10198928415775299	0.22769023	Yes	
row_54	GLIPR1	GLI pathogenesis related 1 [Source:HGNC Symbol;Acc:HGNC:17001]	2128	0.10103107243776321	0.23050943	Yes	
row_55	HINT3	histidine triad nucleotide binding protein 3 [Source:HGNC Symbol;Acc:HGNC:18468]	2131	0.10095232725143433	0.23506598	Yes	
row_56	CREBRF	CREB3 regulatory factor [Source:HGNC Symbol;Acc:HGNC:24050]	2267	0.0967123731970787	0.2314415	Yes	
row_57	SOCS6	suppressor of cytokine signaling 6 [Source:HGNC Symbol;Acc:HGNC:16833]	2271	0.09656382352113724	0.23573472	Yes	
row_58	ARID5B	AT-rich interaction domain 5B [Source:HGNC Symbol;Acc:HGNC:17362]	2274	0.09652005136013031	0.24008594	Yes	
row_59	GJA1	gap junction protein alpha 1 [Source:HGNC Symbol;Acc:HGNC:4274]	2285	0.0963323637843132	0.2439482	Yes	
row_60	CPEB2	cytoplasmic polyadenylation element binding protein 2 [Source:HGNC Symbol;Acc:HGNC:21745]	2296	0.095978744328022	0.24779409	Yes	
row_61	CD101	CD101 molecule [Source:HGNC Symbol;Acc:HGNC:5949]	2361	0.09448028355836868	0.24832867	Yes	
row_62	LY96	lymphocyte antigen 96 [Source:HGNC Symbol;Acc:HGNC:17156]	2402	0.09361132979393005	0.25026384	Yes	
row_63	STC1	stanniocalcin 1 [Source:HGNC Symbol;Acc:HGNC:11373]	2411	0.09330859780311584	0.25410607	Yes	
row_64	SPRED1	sprouty related EVH1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20249]	2467	0.09186223894357681	0.2550597	Yes	
row_65	KBTBD8	kelch repeat and BTB domain containing 8 [Source:HGNC Symbol;Acc:HGNC:30691]	2590	0.08889786154031754	0.25185364	Yes	
row_66	KLF6	KLF transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:2235]	2595	0.08874303847551346	0.25572452	Yes	
row_67	H2BC8	H2B clustered histone 8 [Source:HGNC Symbol;Acc:HGNC:4746]	2605	0.08856111764907837	0.25928682	Yes	
row_68	TLR6	toll like receptor 6 [Source:HGNC Symbol;Acc:HGNC:16711]	2613	0.08839386701583862	0.26296142	Yes	
row_69	RHOC	ras homolog family member C [Source:HGNC Symbol;Acc:HGNC:669]	2631	0.08796374499797821	0.26601577	Yes	
row_70	AFF4	ALF transcription elongation factor 4 [Source:HGNC Symbol;Acc:HGNC:17869]	2663	0.08729394525289536	0.26819858	Yes	
row_71	UPP1	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	2718	0.08580950647592545	0.26893184	Yes	
row_72	IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	2727	0.08559828996658325	0.27241692	Yes	
row_73	TMEM71	transmembrane protein 71 [Source:HGNC Symbol;Acc:HGNC:26572]	2755	0.08475208282470703	0.27472213	Yes	
row_74	LMBRD2	LMBR1 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25287]	2826	0.0831732451915741	0.2743727	Yes	
row_75	H2BC21	H2B clustered histone 21 [Source:HGNC Symbol;Acc:HGNC:4760]	2898	0.08137115836143494	0.27387974	Yes	
row_76	BCL2A1	BCL2 related protein A1 [Source:HGNC Symbol;Acc:HGNC:991]	2899	0.0813465267419815	0.27764812	Yes	
row_77	GLCE	glucuronic acid epimerase [Source:HGNC Symbol;Acc:HGNC:17855]	2933	0.08073002845048904	0.27940682	Yes	
row_78	EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	2934	0.08070822805166245	0.28314564	Yes	
row_79	ANKRD40	ankyrin repeat domain 40 [Source:HGNC Symbol;Acc:HGNC:28233]	2937	0.08065181225538254	0.28676176	Yes	
row_80	PKIB	cAMP-dependent protein kinase inhibitor beta [Source:HGNC Symbol;Acc:HGNC:9018]	3028	0.07851319015026093	0.28499576	Yes	
row_81	MAFB	MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]	3040	0.07836460322141647	0.28796563	Yes	
row_82	WNT5A	Wnt family member 5A [Source:HGNC Symbol;Acc:HGNC:12784]	3052	0.07821685820817947	0.29092863	Yes	
